estimated_loc,complexity_score,timeline_days,team_size_required,domain_category,technical_risk_level,integration_count,seniority_required,regulatory_compliance,testing_coverage_pct,documentation_level,performance_tier,security_criticality,budget_pressure,maintainability_req,project_type,codebase_age_years,existing_test_coverage_pct,dependency_count,last_refactor_years,incident_rate_monthly,code_duplication_pct,technical_debt_score,documentation_quality,language_modernity,team_familiarity,target_team_label,profit_margin_pct
49783,High,139,9,Infrastructure,High,4,Architect,1,79.8,Standard,Standard,Critical,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,20.33
1699,Low,48,1,Infrastructure,Low,2,Junior,0,39.8,Standard,Standard,Critical,Moderate,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,60.37
23641,High,135,8,Security,High,2,Architect,1,64.2,Standard,High,Medium,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,19.65
1653,Low,7,3,Infrastructure,High,11,Senior,1,89.1,Comprehensive,Real-time,Low,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,37.5
38148,Medium,129,8,Web,High,10,Architect,0,48.9,Standard,High,Critical,Tight,Medium,1,9,48.7,95,5,7.72,31.5,Medium,Minimal,Dated,High,Human,17.21
177183,High,216,9,Data,Low,7,Mid,0,55.3,Comprehensive,Real-time,Medium,Tight,High,1,6,64.1,47,0,1.82,8.0,Low,Good,Modern,High,Hybrid,35.62
321393,High,214,11,Web,Critical,12,Senior,1,53.2,Minimal,High,High,Tight,Low,1,4,23.5,67,1,20.0,14.2,Medium,Good,Modern,High,Human,16.67
2429,Low,34,1,Web,High,7,Mid,0,81.4,Standard,High,Low,Tight,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,55.7
4140,Low,39,1,Infrastructure,Medium,4,Architect,1,57.6,Standard,Standard,High,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,39.79
2549,Low,64,3,Security,High,8,Mid,1,84.8,Comprehensive,Standard,High,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,34.91
2672,Low,30,2,Infrastructure,High,10,Mid,0,30.3,Comprehensive,Standard,Low,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,48.27
67763,Medium,102,5,Web,High,7,Junior,1,44.2,Standard,High,Medium,Flexible,Medium,1,20,52.9,80,6,0.64,25.2,High,Minimal,Legacy,High,Human,31.6
69210,Medium,56,7,Web,Medium,5,Junior,0,49.6,Minimal,High,High,Flexible,High,1,17,28.8,148,5,3.52,45.8,Critical,Poor,Modern,Medium,Human,32.67
