estimated_loc,complexity_score,timeline_days,team_size_required,domain_category,technical_risk_level,integration_count,seniority_required,regulatory_compliance,testing_coverage_pct,documentation_level,performance_tier,security_criticality,budget_pressure,maintainability_req,target_team_label,profit_margin_pct
32638,High,167,9,Web,Medium,5,Senior,0,88.2,Comprehensive,High,High,Tight,Low,Hybrid,31.24
62018,High,192,7,Data,Medium,3,Senior,0,73.3,Minimal,High,Critical,Flexible,Low,Human,26.95
2231,Low,47,2,Data,High,1,Senior,0,59.3,Standard,Real-time,Medium,Tight,Medium,Hybrid,45.86
42291,High,153,8,Web,High,3,Senior,0,87.9,Minimal,High,Medium,Moderate,Medium,Hybrid,29.65
42834,High,159,7,Web,Low,0,Mid,0,69.3,Standard,High,Low,Tight,Medium,Hybrid,44.91
5161,Medium,61,3,Data,Low,5,Junior,1,76.1,Standard,Standard,Medium,Moderate,Medium,Hybrid,53.26
2073,Low,19,2,Web,Low,3,Mid,1,57.7,Standard,High,Critical,Flexible,High,Human,45.54
16485,Medium,85,2,Security,Medium,3,Junior,0,98.0,Minimal,Real-time,Low,Moderate,Medium,Hybrid,52.88
11084,Medium,69,2,Security,Medium,5,Mid,1,57.5,Standard,Standard,Medium,Tight,High,Hybrid,47.48
1959,Low,16,2,Data,Medium,3,Senior,0,78.7,Standard,Real-time,Medium,Flexible,Medium,AI,37.76
27106,High,122,10,Data,Medium,3,Senior,1,58.4,Standard,Standard,Medium,Tight,Medium,Hybrid,33.04
48796,High,133,6,Web,Critical,8,Junior,0,90.0,Minimal,Standard,Medium,Moderate,Low,Human,44.87
176048,High,187,6,Security,Medium,3,Junior,0,93.1,Standard,Standard,Critical,Flexible,Medium,Human,39.29
47698,High,114,5,Data,Low,1,Senior,0,58.5,Standard,High,Medium,Moderate,Medium,Hybrid,31.18
1657,Low,27,1,Data,Low,0,Junior,1,51.0,Standard,Standard,Medium,Tight,Low,AI,62.68
1905,Low,71,4,Infrastructure,Medium,2,Mid,1,58.9,Standard,Real-time,High,Tight,Low,Hybrid,50.31
51329,High,144,7,Data,Low,3,Junior,0,71.4,Comprehensive,Real-time,Critical,Tight,High,Human,39.98
1181,Low,23,3,Web,Low,3,Mid,0,81.2,Standard,Standard,Medium,Moderate,Medium,AI,55.1
89805,High,165,10,Data,Medium,2,Mid,0,57.4,Minimal,High,High,Tight,Low,Human,40.29
21382,Medium,102,1,Web,High,7,Architect,0,87.1,Standard,Standard,High,Moderate,Low,Human,32.53
